param_n_neighbors,param_algorithm,param_weights,mean_test_f1_weighted,mean_test_precision_weighted,mean_test_recall_weighted,mean_test_recall[deceased],mean_test_accuracy,rank_test_accuracy
50,ball_tree,distance,0.820536,0.823334,0.828706,0.044158,0.828706,1
50,auto,distance,0.820515,0.823319,0.828685,0.044158,0.828685,2
50,kd_tree,distance,0.820515,0.823319,0.828685,0.044158,0.828685,2
30,ball_tree,distance,0.820269,0.823232,0.828288,0.047232,0.828288,4
25,brute,distance,0.818177,0.82016,0.825663,0.048629,0.825663,5
20,brute,distance,0.817682,0.820096,0.825452,0.049188,0.825452,6
20,auto,distance,0.817568,0.819024,0.824721,0.050026,0.824721,7
30,auto,uniform,0.815708,0.820329,0.824303,0.026271,0.824303,8
30,kd_tree,uniform,0.815708,0.820329,0.824303,0.026271,0.824303,8
25,ball_tree,uniform,0.815268,0.820021,0.823701,0.029067,0.823701,10
15,auto,distance,0.817071,0.817866,0.823646,0.057569,0.823646,11
15,ball_tree,distance,0.817072,0.817865,0.823646,0.057569,0.823646,12
40,kd_tree,uniform,0.813804,0.819895,0.823347,0.014533,0.823347,13
20,auto,uniform,0.814349,0.817721,0.822038,0.032701,0.822038,14
50,ball_tree,uniform,0.812285,0.817827,0.8216,0.009782,0.8216,15
15,auto,uniform,0.814408,0.816405,0.821433,0.04164,0.821433,16
10,ball_tree,distance,0.812555,0.81555,0.820593,0.054499,0.820593,17
10,auto,distance,0.812533,0.815516,0.820573,0.054499,0.820573,18
10,brute,distance,0.81211,0.814445,0.820063,0.053659,0.820063,19
10,kd_tree,uniform,0.810352,0.814221,0.81892,0.043599,0.81892,20
100,ball_tree,uniform,0.808461,0.810127,0.818845,0.001118,0.818845,21
8,ball_tree,uniform,0.808263,0.812012,0.817142,0.050307,0.817142,22
5,brute,distance,0.809554,0.808244,0.814113,0.06288,0.814113,23
4,auto,distance,0.801203,0.808364,0.812416,0.066235,0.812416,24
5,kd_tree,uniform,0.806693,0.806226,0.8118,0.057574,0.8118,25
5,ball_tree,uniform,0.80666,0.806193,0.81177,0.057853,0.81177,26
4,auto,uniform,0.79996,0.8074,0.811739,0.064837,0.811739,27
3,kd_tree,uniform,0.804306,0.804321,0.806,0.082166,0.806,28
3,ball_tree,uniform,0.804304,0.804329,0.805993,0.082725,0.805993,29
3,brute,uniform,0.798971,0.804277,0.794429,0.129961,0.794429,30
